title,normalized
CAD PDO LT50,CADEADO PADO LT 50 MILÍMETROS - 1 UNIDADE
MACARRO ESPAGUETE ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
FRALDA PAMPERS SUPERSEC M C/30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
REFRIG COCA 2L,REFRIGERANTE COCA COLA - 2 LITROS
ARZ BRCO TIO JOAO 1KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
BISCOITO CREAM CRACKER BAUDUCCO 200G,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
COCACOLA 2 LITROS,REFRIGERANTE COCA COLA - 2 LITROS
FEIJ CAR KICALDO 1 KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
BISCOITO CREAM CRACKER BAUDUCO 200GR,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
SHAMP HEAD SHOULDERS ANTICASPA 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
AGUA MIN SG CRYSTAL 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
SHAMPOO ANTICASPA HEAD E SHOULDERS 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
CADEADO PADO LT-50MM,CADEADO PADO LT 50 MILÍMETROS - 1 UNIDADE
AZEITE EX VIRGEM GALO 500ML,AZEITE GALO EXTRA VIRGEM - 500 MILILITROS
AZEITE EXT VRG GALO 500ML,AZEITE GALO EXTRA VIRGEM - 500 MILILITROS
SHAMPOO ANTICASPA HEAD SHOLD 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
CC 2L,REFRIGERANTE COCA COLA - 2 LITROS
PNEU 175/70R13 BRIDGESTONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
CREME DENTAL COLGATE MENTA 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
DET LIMAO YPE 500ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
OLEO MOTOR 5W-30 SINT CASTRL 1L,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
CAFE TRAD PILAO 500GR,CAFÉ PILÃO TRADICIONAL - 500 GRAMAS
LTE INTEGRAL ITALAC 1L,LEITE ITALAC INTEGRAL - 1 LITRO
MCARRAO ESPAGUETE ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
ARROZ BCO TIO JO 1KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
LEITE INTEGRAL ITALAC 1L,LEITE ITALAC INTEGRAL - 1 LITRO
CREME DEN MENTA COLGATE 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
CREME DNTL MENTA COLGATE 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
ARRZ TIO JOA BCO 1KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
ARROZ TIO JOAO BCO 1KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
CRME DENTAL MENTA COLGATE 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
SABAO EM PO OMO LAVANDA 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
DETERG LIM IPÊ 500 ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
SABAO LAVANDA OMO 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
FJO CAR KICALDO1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
MACARRAO ESPAGUET ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
SABAO PO OMO LAVNDA 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
DETERGT LIMAO YPE 500ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
OLEO 5W30 SINTETICO CASTROL 1L,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
FRL PAMPERS SUPERSEC M C/30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
LEITE INTGL ITALAC 1LT,LEITE ITALAC INTEGRAL - 1 LITRO
AGUA MINERAL CRYSTAL S/GAS 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
CR DENTAL MENTA COLGATE 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
PNEU 175/70 R 13 BRIDGESTONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
CAFE TRADICIONAL PILAO 500G,CAFÉ PILÃO TRADICIONAL - 500 GRAMAS
DETERG LIMAO YPE 500 ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
FJO CARIOCA KICALDO 1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
LEITE ITALAC INTEGRAL 1L,LEITE ITALAC INTEGRAL - 1 LITRO
CREME DENTAL MENTA COLGATE 90GR,CREME DENTAL COLGATE MENTA - 90 GRAMAS
PNEU 175.70R13 BRIDGESTONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
CF TRAD PILAO 500G,CAFÉ PILÃO TRADICIONAL - 500 GRAMAS
OLEO MTR 5W30 CASTROL SINT 1LT,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
FRALDA PAMPERS SUPER SEC M C30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
COCA-COLA 2LT,REFRIGERANTE COCA COLA - 2 LITROS
BISCTO CREAM CRACKER BAUDUCCO 200G,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
AÇUCAR CRISTAL UNIAO 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
PNE 175 70 R13 BRIDGESTONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
PASTA DENTAL MENTA COLGATE 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
PNEU 175 70R13 BRIDGSTONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
LT ITALAC INTEGRAL 1L,LEITE ITALAC INTEGRAL - 1 LITRO
SAB PO OMO LAVANDA 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
FEIJAO CARICOA KICALDO 1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
COCA COLA DOIS LITROS,REFRIGERANTE COCA COLA - 2 LITROS
MACARRAO ESPAGUETE ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
AGUA MINERAL SEM GAS CRYSTAL 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
SAB PO OMO LAV 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
CERVEJA SKL PURO MALTE 269ML LATA,CERVEJA SKOL PURO MALTE LATA - 269 MILILITROS
PNEU 175/70-R13 BRIDGESTN,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
SB PO OMO LAVANDA 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
REFRIG CC 2LT,REFRIGERANTE COCA COLA - 2 LITROS
CDO PADO LT-50,CADEADO PADO LT 50 MILÍMETROS - 1 UNIDADE
ACU CRISAL UNIAO 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
CERVEJA SKOL PM 269ML LATA,CERVEJA SKOL PURO MALTE LATA - 269 MILILITROS
SHAMPOO ANTICASPA HEAD SHOULDER 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
CADEADO PADO MOD LT50,CADEADO PADO LT 50 MILÍMETROS - 1 UNIDADE
DET LIM IPE 500ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
CERV SKOLL PURO MALTE 269ML LT,CERVEJA SKOL PURO MALTE LATA - 269 MILILITROS
SHAMP ANTI CASPA HEAD SHOULDERS 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
FRALDA PAMPERS SUPERSEC M 30 UN,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
PNEU175/70R13 BRIDGESTON,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
CAFE PILAO 500G TRAD,CAFÉ PILÃO TRADICIONAL - 500 GRAMAS
ACUCAR CRITAL UNIAO 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
BISC CRM CRACKER BAUDUCCO 200G,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
ACU CRISTAL UNIAO 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
OLEO MOTOR CASTROL 5W30 S 1L,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
ACUCAR CRIST UNIAO1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
LEITE ITALAC INTEG 1000ML,LEITE ITALAC INTEGRAL - 1 LITRO
SABAO PO OMO LAVANDA 1 KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
ARROZ BRANCO TIO JOAO 1KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
AÇUCAR UNION CRISTAL 1KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
CERVEJA SKOL PURO MALTE 269ML LT,CERVEJA SKOL PURO MALTE LATA - 269 MILILITROS
OLEO MTR 5W30 CASTROL 1L SINT,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
AZEITE XTRA VIRGEM GALO 500ML,AZEITE GALO EXTRA VIRGEM - 500 MILILITROS
FEIJAO CARIOCA KICLD 1KG,FEIJÃO KICALDO CARIOCA - 1 QUILOGRAMA
FRALDA PAMPERS SUPERSEC MEDIO 30,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
OLEO MOT SINT 5W30 CASTROL 1L,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
COCA COLA 2 LT,REFRIGERANTE COCA COLA - 2 LITROS
ACU CRIST UNIAO 1 KG,AÇÚCAR UNIÃO CRISTAL - 1 QUILOGRAMA
CREME DENTAL COLGATE MNT 90G,CREME DENTAL COLGATE MENTA - 90 GRAMAS
SHAMP ANTICASPA HEAD SHOULDERS 200ML,SHAMPOO HEAD & SHOULDERS ANTICASPA - 200 MILILITROS
FRALDA PAMPERS SUPERSEC M 30UN,FRALDA PAMPERS SUPERSEC TAMANHO M - 30 UNIDADES
BISCOITO CR CRACKER BAUDUCCO 200G,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
AGU MIN SEM GAS CRISTAL 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
MACARRAO ESPAG ADRIA 500G,MACARRÃO ESPAGUETE ADRIA - 500 GRAMAS
SAB EM P OMO LAVANDA 1KG,SABÃO EM PÓ OMO LAVANDA - 1 QUILOGRAMA
DETERGNT LIMAO YPE 500ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
AZEITE EXTRAVIRGEM GALO 500ML,AZEITE GALO EXTRA VIRGEM - 500 MILILITROS
OLEO MOTOR 5.W30 SINT CASTROL 1L,ÓLEO DE MOTOR CASTROL SINTÉTICO 5W30 - 1 LITRO
ARR BCO TJ 1KG,ARROZ TIO JOÃO BRANCO - 1 QUILOGRAMA
DETERGENTE LIMAO YPE 500ML,DETERGENTE YPÊ LIMÃO - 500 MILILITROS
BISCOITO CREAM CRK BAUDUCCO 200G,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
CADEADO PADO LT50MM,CADEADO PADO LT 50 MILÍMETROS - 1 UNIDADE
AGU MIN S/GAS CRYSTAL 500ML,ÁGUA MINERAL CRYSTAL SEM GÁS - 500 MILILITROS
PNEU 175/70R13 BRIDGESONE,PNEU BRIDGESTONE 175/70 R13 - 1 UNIDADE
BSC CREAM CRACKER BAUDUCCO 200G,BISCOITO CREAM CRACKER BAUDUCCO - 200 GRAMAS
